Sample	Raw_Seq_Num	Raw_bases_Num(Gbp)	Clean_Seq_Num	Clean_bases_Num(Gbp)	UniVec_Seq_Num	rRNA_Seq_Num	miRNA_Seq_Num	tRNA_Seq_Num	piRNA_Seq_Num
SRR10822575	65337632	8.2	65334782 (100.0%)	8.0	1804852 (2.76%)	59640 (0.09%)	742 (0.0%)	340 (0.0%)	8096 (0.01%)
SRR10822576	75706840	10.58	75701066 (99.99%)	10.4	390540 (0.52%)	115400 (0.15%)	62 (0.0%)	20 (0.0%)	512 (0.0%)
SRR10822577	93456838	13.17	93449402 (99.99%)	13.0	357854 (0.38%)	82868 (0.09%)	66 (0.0%)	4 (0.0%)	646 (0.0%)
SRR10822578	56007186	7.54	56001642 (99.99%)	7.4	477984 (0.85%)	87746 (0.16%)	50 (0.0%)	22 (0.0%)	1440 (0.0%)
SRR10822579	64391146	8.55	64385632 (99.99%)	8.4	284216 (0.44%)	69342 (0.11%)	160 (0.0%)	14 (0.0%)	2144 (0.0%)
SRR14506843	70390124	10.56	69512138 (98.75%)	9.0	889508 (1.28%)	87038 (0.13%)	2736 (0.0%)	198 (0.0%)	66458 (0.1%)
SRR14506844	66489580	9.97	65608700 (98.68%)	9.0	528304 (0.81%)	121542 (0.19%)	468 (0.0%)	78 (0.0%)	11800 (0.02%)
SRR14506845	75501220	11.33	72355048 (95.83%)	9.7	444714 (0.61%)	25904 (0.04%)	1224 (0.0%)	336 (0.0%)	29702 (0.04%)
SRR14506846	70032328	10.5	68120686 (97.27%)	6.0	2786960 (4.09%)	13653512 (20.9%)	20152 (0.04%)	40030 (0.08%)	645238 (1.25%)
SRR14506847	60265886	9.04	56450680 (93.67%)	3.4	1109440 (1.97%)	11874606 (21.46%)	51438 (0.12%)	43468 (0.1%)	1643736 (3.79%)
SRR10822540	52993626	7.1	52991296 (100.0%)	7.0	178246 (0.34%)	44452 (0.08%)	14 (0.0%)	6 (0.0%)	478 (0.0%)
SRR10822541	54714074	7.39	54711834 (100.0%)	7.2	146724 (0.27%)	110810 (0.2%)	80 (0.0%)	12 (0.0%)	458 (0.0%)
SRR10822542	29119042	3.87	29117896 (100.0%)	3.8	135234 (0.46%)	20638 (0.07%)	110 (0.0%)	4 (0.0%)	348 (0.0%)
SRR10822543	71936216	9.77	71933378 (100.0%)	9.6	39852 (0.06%)	39920 (0.06%)	136 (0.0%)	208 (0.0%)	4446 (0.01%)
SRR10822544	53701338	7.13	53698428 (99.99%)	7.0	54894 (0.1%)	12752 (0.02%)	16 (0.0%)	0 (0.0%)	890 (0.0%)
SRR10822545	68843344	8.86	68841568 (100.0%)	8.7	1765680 (2.56%)	31520 (0.05%)	392 (0.0%)	30 (0.0%)	966 (0.0%)
SRR10822546	63023340	8.71	63019198 (99.99%)	8.6	162022 (0.26%)	47844 (0.08%)	80 (0.0%)	40 (0.0%)	1082 (0.0%)
SRR10822547	55550830	7.46	55547418 (99.99%)	7.4	247344 (0.45%)	58582 (0.11%)	334 (0.0%)	82 (0.0%)	1714 (0.0%)
SRR10822548	49912116	7.05	49908924 (99.99%)	6.9	11402 (0.02%)	37984 (0.08%)	34 (0.0%)	20 (0.0%)	578 (0.0%)
SRR10822549	63142008	8.74	63135776 (99.99%)	8.6	143138 (0.23%)	73516 (0.12%)	80 (0.0%)	162 (0.0%)	1310 (0.0%)
SRR10822550	57881544	7.71	57878364 (99.99%)	7.6	70200 (0.12%)	38022 (0.07%)	114 (0.0%)	24 (0.0%)	1626 (0.0%)
SRR10822551	83075152	10.74	83071010 (100.0%)	10.6	294412 (0.35%)	56750 (0.07%)	982 (0.0%)	124 (0.0%)	4294 (0.01%)
SRR10822552	63348396	8.92	63346354 (100.0%)	8.7	18564 (0.03%)	28828 (0.05%)	70 (0.0%)	36 (0.0%)	1036 (0.0%)
SRR10822553	54822520	7.36	54819252 (99.99%)	7.2	169648 (0.31%)	50116 (0.09%)	76 (0.0%)	2 (0.0%)	580 (0.0%)
SRR10822554	59414074	8.0	59411238 (100.0%)	7.8	21402 (0.04%)	60572 (0.1%)	56 (0.0%)	146 (0.0%)	2460 (0.0%)
SRR10822555	75774574	9.8	75771798 (100.0%)	9.6	302862 (0.4%)	53380 (0.07%)	928 (0.0%)	100 (0.0%)	4050 (0.01%)
SRR10822556	66877916	9.37	66873876 (99.99%)	9.2	127648 (0.19%)	10604 (0.02%)	50 (0.0%)	8 (0.0%)	728 (0.0%)
SRR10822557	64700674	8.95	64695906 (99.99%)	8.8	98666 (0.15%)	54964 (0.09%)	90 (0.0%)	116 (0.0%)	1242 (0.0%)
SRR10822558	61469804	8.47	61465994 (99.99%)	8.4	62802 (0.1%)	31874 (0.05%)	98 (0.0%)	220 (0.0%)	3058 (0.0%)
