Sample	Raw_Seq_Num	Raw_bases_Num(Gbp)	Clean_Seq_Num	Clean_bases_Num(Gbp)	UniVec_Seq_Num	rRNA_Seq_Num	miRNA_Seq_Num	tRNA_Seq_Num	piRNA_Seq_Num	Genome_Seq_Num	Genome_Rmdup_Seq_Num	Read_Distribution_exon	Read_Distribution_intron	Read_Distribution_intergenic	Non_Zero_Gene_Counts	Non_Zero_mRNA_Gene_Counts	Non_Zero_lncRNA_Gene_Counts	Infer_Experiment	Featurecount_Assigned
SRR10822575	65337632	8.2	65334782 (100.0%)	8.0	1804852 (2.76%)	59640 (0.09%)	742 (0.0%)	340 (0.0%)	8096 (0.01%)	17147889 (27.02%)	4863676 (28.36%)	78.53%	13.24%	8.23%	28153	16851	6929	8.84% | 77.86%	72.70%
SRR10822576	75706840	10.58	75701066 (99.99%)	10.4	390540 (0.52%)	115400 (0.15%)	62 (0.0%)	20 (0.0%)	512 (0.0%)	24856008 (33.06%)	3361462 (13.52%)	54.59%	28.49%	16.92%	31169	17826	8030	25.86% | 63.06%	50.44%
SRR10822577	93456838	13.17	93449402 (99.99%)	13.0	357854 (0.38%)	82868 (0.09%)	66 (0.0%)	4 (0.0%)	646 (0.0%)	18342300 (19.72%)	3141133 (17.13%)	44.7%	33.88%	21.42%	32755	18019	8842	30.4% | 59.35%	40.50%
SRR10822578	56007186	7.54	56001642 (99.99%)	7.4	477984 (0.85%)	87746 (0.16%)	50 (0.0%)	22 (0.0%)	1440 (0.0%)	15668474 (28.26%)	3484277 (22.24%)	54.62%	28.06%	17.32%	33310	18146	9031	23.27% | 66.69%	48.07%
SRR10822579	64391146	8.55	64385632 (99.99%)	8.4	284216 (0.44%)	69342 (0.11%)	160 (0.0%)	14 (0.0%)	2144 (0.0%)	24068999 (37.59%)	7195503 (29.9%)	35.21%	39.11%	25.68%	41798	18904	12507	33.37% | 59.78%	30.29%
SRR14506843	70390124	10.56	69512138 (98.75%)	9.0	889508 (1.28%)	87038 (0.13%)	2736 (0.0%)	198 (0.0%)	66458 (0.1%)	18120420 (26.47%)	3125199 (17.25%)	89.79%	6.68%	3.53%	22683	15255	4600	3.23% | 84.12%	87.31%
SRR14506844	66489580	9.97	65608700 (98.68%)	9.0	528304 (0.81%)	121542 (0.19%)	468 (0.0%)	78 (0.0%)	11800 (0.02%)	20542655 (31.63%)	3372372 (16.42%)	92.09%	5.07%	2.84%	23001	15508	4765	3.15% | 83.61%	90.06%
SRR14506845	75501220	11.33	72355048 (95.83%)	9.7	444714 (0.61%)	25904 (0.04%)	1224 (0.0%)	336 (0.0%)	29702 (0.04%)	10416655 (14.5%)	692802 (6.65%)	45.82%	31.95%	22.23%	21730	14752	4393	27.73% | 62.65%	40.95%
SRR14506846	70032328	10.5	68120686 (97.27%)	6.0	2786960 (4.09%)	13653512 (20.9%)	20152 (0.04%)	40030 (0.08%)	645238 (1.25%)	5039948 (9.89%)	639396 (12.69%)	42.41%	36.1%	21.48%	16851	12758	2553	64.13% | 26.65%	35.62%
SRR14506847	60265886	9.04	56450680 (93.67%)	3.4	1109440 (1.97%)	11874606 (21.46%)	51438 (0.12%)	43468 (0.1%)	1643736 (3.79%)	6690442 (16.03%)	783364 (11.71%)	22.45%	48.19%	29.36%	19246	13509	3562	55.37% | 36.16%	20.56%
SRR10822540	52993626	7.1	52991296 (100.0%)	7.0	178246 (0.34%)	44452 (0.08%)	14 (0.0%)	6 (0.0%)	478 (0.0%)	32282822 (61.18%)	3613150 (11.19%)	90.27%	7.52%	2.2%	20677	14128	4150	3.84% | 80.38%	89.94%
SRR10822541	54714074	7.39	54711834 (100.0%)	7.2	146724 (0.27%)	110810 (0.2%)	80 (0.0%)	12 (0.0%)	458 (0.0%)	30682099 (56.35%)	2702734 (8.81%)	55.08%	30.92%	13.99%	28841	16953	7251	17.36% | 72.37%	50.62%
SRR10822542	29119042	3.87	29117896 (100.0%)	3.8	135234 (0.46%)	20638 (0.07%)	110 (0.0%)	4 (0.0%)	348 (0.0%)	12724446 (43.94%)	726364 (5.71%)	55.12%	28.83%	16.05%	16495	11934	2901	20.46% | 69.53%	51.04%
SRR10822543	71936216	9.77	71933378 (100.0%)	9.6	39852 (0.06%)	39920 (0.06%)	136 (0.0%)	208 (0.0%)	4446 (0.01%)	50567859 (70.38%)	21318421 (42.16%)	16.87%	50.25%	32.88%	51586	19259	15539	39.92% | 50.54%	16.62%
SRR10822544	53701338	7.13	53698428 (99.99%)	7.0	54894 (0.1%)	12752 (0.02%)	16 (0.0%)	0 (0.0%)	890 (0.0%)	34762361 (64.82%)	4449247 (12.8%)	88.06%	8.61%	3.33%	23979	15676	5308	5.33% | 80.16%	87.66%
SRR10822545	68843344	8.86	68841568 (100.0%)	8.7	1765680 (2.56%)	31520 (0.05%)	392 (0.0%)	30 (0.0%)	966 (0.0%)	14684783 (21.9%)	818918 (5.58%)	74.71%	16.68%	8.61%	15063	11455	2175	7.97% | 80.98%	70.39%
SRR10822546	63023340	8.71	63019198 (99.99%)	8.6	162022 (0.26%)	47844 (0.08%)	80 (0.0%)	40 (0.0%)	1082 (0.0%)	40644437 (64.71%)	12479979 (30.71%)	43.5%	38.23%	18.27%	44844	19034	13636	21.42% | 70.1%	38.74%
SRR10822547	55550830	7.46	55547418 (99.99%)	7.4	247344 (0.45%)	58582 (0.11%)	334 (0.0%)	82 (0.0%)	1714 (0.0%)	30367084 (54.97%)	14801983 (48.74%)	34.59%	41.69%	23.72%	47554	19221	14475	29.69% | 62.1%	31.21%
SRR10822548	49912116	7.05	49908924 (99.99%)	6.9	11402 (0.02%)	37984 (0.08%)	34 (0.0%)	20 (0.0%)	578 (0.0%)	34836488 (69.87%)	5881678 (16.88%)	76.88%	14.17%	8.95%	32626	17859	9122	13.15% | 74.21%	72.44%
SRR10822549	63142008	8.74	63135776 (99.99%)	8.6	143138 (0.23%)	73516 (0.12%)	80 (0.0%)	162 (0.0%)	1310 (0.0%)	40731225 (64.74%)	9970419 (24.48%)	60.72%	27.58%	11.7%	39877	18617	11838	12.84% | 76.15%	54.84%
SRR10822550	57881544	7.71	57878364 (99.99%)	7.6	70200 (0.12%)	38022 (0.07%)	114 (0.0%)	24 (0.0%)	1626 (0.0%)	36456138 (63.11%)	3768156 (10.34%)	84.77%	10.51%	4.72%	24385	15665	5523	6.47% | 76.22%	83.77%
SRR10822551	83075152	10.74	83071010 (100.0%)	10.6	294412 (0.35%)	56750 (0.07%)	982 (0.0%)	124 (0.0%)	4294 (0.01%)	36183296 (43.74%)	19285331 (53.3%)	27.52%	43.73%	28.75%	45340	19113	13609	36.59% | 55.54%	26.10%
SRR10822552	63348396	8.92	63346354 (100.0%)	8.7	18564 (0.03%)	28828 (0.05%)	70 (0.0%)	36 (0.0%)	1036 (0.0%)	42401345 (66.99%)	13488395 (31.81%)	27.36%	45.17%	27.47%	48368	19179	14703	33.85% | 57.85%	25.11%
SRR10822553	54822520	7.36	54819252 (99.99%)	7.2	169648 (0.31%)	50116 (0.09%)	76 (0.0%)	2 (0.0%)	580 (0.0%)	30268139 (55.44%)	2411757 (7.97%)	67.73%	24.49%	7.78%	24411	15556	5413	9.26% | 79.1%	63.56%
SRR10822554	59414074	8.0	59411238 (100.0%)	7.8	21402 (0.04%)	60572 (0.1%)	56 (0.0%)	146 (0.0%)	2460 (0.0%)	40352721 (68.02%)	14703828 (36.44%)	38.19%	36.88%	24.93%	47988	19143	14701	30.52% | 56.65%	34.23%
